"Long"	"Lat"	"cell"
-156.5	71.5	"6504"
-155.5	71.5	"6505"
-162.5	70.5	"6858"
-161.5	70.5	"6859"
-160.5	70.5	"6860"
-159.5	70.5	"6861"
-158.5	70.5	"6862"
-157.5	70.5	"6863"
-156.5	70.5	"6864"
-155.5	70.5	"6865"
-154.5	70.5	"6866"
-153.5	70.5	"6867"
-152.5	70.5	"6868"
-151.5	70.5	"6869"
-150.5	70.5	"6870"
-149.5	70.5	"6871"
-148.5	70.5	"6872"
-147.5	70.5	"6873"
-163.5	69.5	"7217"
-162.5	69.5	"7218"
-161.5	69.5	"7219"
-160.5	69.5	"7220"
-159.5	69.5	"7221"
-158.5	69.5	"7222"
-157.5	69.5	"7223"
-156.5	69.5	"7224"
-155.5	69.5	"7225"
-154.5	69.5	"7226"
-153.5	69.5	"7227"
-152.5	69.5	"7228"
-151.5	69.5	"7229"
-150.5	69.5	"7230"
-149.5	69.5	"7231"
-148.5	69.5	"7232"
-147.5	69.5	"7233"
-146.5	69.5	"7234"
-145.5	69.5	"7235"
-144.5	69.5	"7236"
-143.5	69.5	"7237"
-142.5	69.5	"7238"
-166.5	68.5	"7574"
-165.5	68.5	"7575"
-164.5	68.5	"7576"
-163.5	68.5	"7577"
-162.5	68.5	"7578"
-161.5	68.5	"7579"
-160.5	68.5	"7580"
-159.5	68.5	"7581"
-158.5	68.5	"7582"
-157.5	68.5	"7583"
-156.5	68.5	"7584"
-155.5	68.5	"7585"
-154.5	68.5	"7586"
-153.5	68.5	"7587"
-152.5	68.5	"7588"
-151.5	68.5	"7589"
-150.5	68.5	"7590"
-149.5	68.5	"7591"
-148.5	68.5	"7592"
-147.5	68.5	"7593"
-146.5	68.5	"7594"
-145.5	68.5	"7595"
-144.5	68.5	"7596"
-143.5	68.5	"7597"
-142.5	68.5	"7598"
-164.5	67.5	"7936"
-163.5	67.5	"7937"
-162.5	67.5	"7938"
-161.5	67.5	"7939"
-160.5	67.5	"7940"
-159.5	67.5	"7941"
-158.5	67.5	"7942"
-157.5	67.5	"7943"
-156.5	67.5	"7944"
-155.5	67.5	"7945"
-154.5	67.5	"7946"
-153.5	67.5	"7947"
-152.5	67.5	"7948"
-151.5	67.5	"7949"
-150.5	67.5	"7950"
-149.5	67.5	"7951"
-148.5	67.5	"7952"
-147.5	67.5	"7953"
-146.5	67.5	"7954"
-145.5	67.5	"7955"
-144.5	67.5	"7956"
-143.5	67.5	"7957"
-142.5	67.5	"7958"
-166.5	66.5	"8294"
-165.5	66.5	"8295"
-164.5	66.5	"8296"
-163.5	66.5	"8297"
-162.5	66.5	"8298"
-161.5	66.5	"8299"
-160.5	66.5	"8300"
-159.5	66.5	"8301"
-158.5	66.5	"8302"
-157.5	66.5	"8303"
-156.5	66.5	"8304"
-155.5	66.5	"8305"
-154.5	66.5	"8306"
-153.5	66.5	"8307"
-152.5	66.5	"8308"
-151.5	66.5	"8309"
-150.5	66.5	"8310"
-149.5	66.5	"8311"
-148.5	66.5	"8312"
-147.5	66.5	"8313"
-146.5	66.5	"8314"
-145.5	66.5	"8315"
-144.5	66.5	"8316"
-143.5	66.5	"8317"
-142.5	66.5	"8318"
-141.5	66.5	"8319"
-167.5	65.5	"8653"
-166.5	65.5	"8654"
-165.5	65.5	"8655"
-164.5	65.5	"8656"
-163.5	65.5	"8657"
-162.5	65.5	"8658"
-161.5	65.5	"8659"
-160.5	65.5	"8660"
-159.5	65.5	"8661"
-158.5	65.5	"8662"
-157.5	65.5	"8663"
-156.5	65.5	"8664"
-155.5	65.5	"8665"
-154.5	65.5	"8666"
-153.5	65.5	"8667"
-152.5	65.5	"8668"
-151.5	65.5	"8669"
-150.5	65.5	"8670"
-149.5	65.5	"8671"
