"Plot"	"Record"	"Species"
6504	1	"Empidonax_hammondii"
6504	1	"Empidonax_alnorum"
6504	1	"Sayornis_saya"
6504	1	"Contopus_cooperi"
6505	1	"Empidonax_hammondii"
6505	1	"Empidonax_alnorum"
6505	1	"Sayornis_saya"
6505	1	"Contopus_cooperi"
6858	1	"Empidonax_hammondii"
6858	1	"Empidonax_alnorum"
6858	1	"Sayornis_saya"
6858	1	"Contopus_cooperi"
6858	1	"Contopus_sordidulus"
6859	1	"Empidonax_hammondii"
6859	1	"Empidonax_alnorum"
6859	1	"Sayornis_saya"
6859	1	"Contopus_cooperi"
6860	1	"Empidonax_hammondii"
6860	1	"Empidonax_alnorum"
6860	1	"Sayornis_saya"
6860	1	"Contopus_cooperi"
6861	1	"Empidonax_hammondii"
6861	1	"Empidonax_alnorum"
6861	1	"Sayornis_saya"
6861	1	"Contopus_cooperi"
6862	1	"Empidonax_hammondii"
6862	1	"Empidonax_alnorum"
6862	1	"Sayornis_saya"
6862	1	"Contopus_cooperi"
6863	1	"Empidonax_hammondii"
6863	1	"Empidonax_alnorum"
6863	1	"Sayornis_saya"
6863	1	"Contopus_cooperi"
6864	1	"Empidonax_hammondii"
6864	1	"Empidonax_alnorum"
6864	1	"Sayornis_saya"
6864	1	"Contopus_cooperi"
6865	1	"Empidonax_hammondii"
6865	1	"Empidonax_alnorum"
6865	1	"Sayornis_saya"
6865	1	"Contopus_cooperi"
6866	1	"Empidonax_hammondii"
6866	1	"Empidonax_alnorum"
6866	1	"Sayornis_saya"
6866	1	"Contopus_cooperi"
6867	1	"Empidonax_hammondii"
6867	1	"Empidonax_alnorum"
6867	1	"Sayornis_saya"
6867	1	"Contopus_cooperi"
6868	1	"Empidonax_hammondii"
6868	1	"Empidonax_alnorum"
6868	1	"Sayornis_saya"
6868	1	"Contopus_cooperi"
6869	1	"Empidonax_hammondii"
6869	1	"Empidonax_alnorum"
6869	1	"Sayornis_saya"
6869	1	"Contopus_cooperi"
6870	1	"Empidonax_hammondii"
6870	1	"Empidonax_alnorum"
6870	1	"Sayornis_saya"
6870	1	"Contopus_cooperi"
6871	1	"Empidonax_hammondii"
6871	1	"Empidonax_alnorum"
6871	1	"Sayornis_saya"
6871	1	"Contopus_cooperi"
6872	1	"Empidonax_hammondii"
6872	1	"Empidonax_alnorum"
6872	1	"Sayornis_saya"
6872	1	"Contopus_cooperi"
6873	1	"Empidonax_hammondii"
6873	1	"Empidonax_alnorum"
6873	1	"Sayornis_saya"
6873	1	"Contopus_cooperi"
7217	1	"Empidonax_hammondii"
7217	1	"Empidonax_alnorum"
7217	1	"Sayornis_saya"
7217	1	"Contopus_cooperi"
7217	1	"Contopus_sordidulus"
7218	1	"Empidonax_hammondii"
7218	1	"Empidonax_alnorum"
7218	1	"Sayornis_saya"
7218	1	"Contopus_cooperi"
7218	1	"Contopus_sordidulus"
7219	1	"Empidonax_hammondii"
7219	1	"Empidonax_alnorum"
7219	1	"Sayornis_saya"
7219	1	"Contopus_cooperi"
7220	1	"Empidonax_hammondii"
7220	1	"Empidonax_alnorum"
7220	1	"Sayornis_saya"
7220	1	"Contopus_cooperi"
7221	1	"Empidonax_hammondii"
7221	1	"Empidonax_alnorum"
7221	1	"Sayornis_saya"
7221	1	"Contopus_cooperi"
7222	1	"Empidonax_hammondii"
7222	1	"Empidonax_alnorum"
7222	1	"Sayornis_saya"
7222	1	"Contopus_cooperi"
7223	1	"Empidonax_hammondii"
7223	1	"Empidonax_alnorum"
7223	1	"Sayornis_saya"
7223	1	"Contopus_cooperi"
7224	1	"Empidonax_hammondii"
7224	1	"Empidonax_alnorum"
7224	1	"Sayornis_saya"
7224	1	"Contopus_cooperi"
7225	1	"Empidonax_hammondii"
7225	1	"Empidonax_alnorum"
7225	1	"Sayornis_saya"
7225	1	"Contopus_cooperi"
7226	1	"Empidonax_hammondii"
7226	1	"Empidonax_alnorum"
7226	1	"Sayornis_saya"
7226	1	"Contopus_cooperi"
7227	1	"Empidonax_hammondii"
7227	1	"Empidonax_alnorum"
7227	1	"Sayornis_saya"
7227	1	"Contopus_cooperi"
7228	1	"Empidonax_hammondii"
7228	1	"Empidonax_alnorum"
7228	1	"Sayornis_saya"
7228	1	"Contopus_cooperi"
7229	1	"Empidonax_hammondii"
7229	1	"Empidonax_alnorum"
7229	1	"Sayornis_saya"
7229	1	"Contopus_cooperi"
7230	1	"Empidonax_hammondii"
7230	1	"Empidonax_alnorum"
7230	1	"Sayornis_saya"
7230	1	"Contopus_cooperi"
7231	1	"Empidonax_hammondii"
7231	1	"Empidonax_alnorum"
7231	1	"Sayornis_saya"
7231	1	"Contopus_cooperi"
7232	1	"Empidonax_hammondii"
7232	1	"Empidonax_alnorum"
7232	1	"Sayornis_saya"
7232	1	"Contopus_cooperi"
7233	1	"Empidonax_hammondii"
7233	1	"Empidonax_alnorum"
7233	1	"Sayornis_saya"
7233	1	"Contopus_cooperi"
7233	1	"Contopus_sordidulus"
7234	1	"Empidonax_hammondii"
7234	1	"Empidonax_alnorum"
7234	1	"Sayornis_saya"
7234	1	"Contopus_cooperi"
7234	1	"Contopus_sordidulus"
7235	1	"Empidonax_hammondii"
7235	1	"Empidonax_alnorum"
7235	1	"Sayornis_saya"
7235	1	"Contopus_cooperi"
7235	1	"Contopus_sordidulus"
7236	1	"Empidonax_hammondii"
7236	1	"Empidonax_alnorum"
7236	1	"Sayornis_saya"
7236	1	"Contopus_cooperi"
7236	1	"Contopus_sordidulus"
7237	1	"Empidonax_hammondii"
7237	1	"Empidonax_alnorum"
7237	1	"Sayornis_saya"
7237	1	"Contopus_cooperi"
7237	1	"Contopus_sordidulus"
7238	1	"Empidonax_hammondii"
7238	1	"Empidonax_alnorum"
7238	1	"Sayornis_saya"
7238	1	"Contopus_cooperi"
7238	1	"Contopus_sordidulus"
7574	1	"Empidonax_hammondii"
7574	1	"Empidonax_alnorum"
7574	1	"Sayornis_saya"
7574	1	"Contopus_cooperi"
7574	1	"Contopus_sordidulus"
7575	1	"Empidonax_hammondii"
7575	1	"Empidonax_alnorum"
7575	1	"Sayornis_saya"
7575	1	"Contopus_cooperi"
7575	1	"Contopus_sordidulus"
7576	1	"Empidonax_hammondii"
7576	1	"Empidonax_alnorum"
7576	1	"Sayornis_saya"
7576	1	"Contopus_cooperi"
7576	1	"Contopus_sordidulus"
7577	1	"Empidonax_hammondii"
7577	1	"Empidonax_alnorum"
7577	1	"Sayornis_saya"
7577	1	"Contopus_cooperi"
7577	1	"Contopus_sordidulus"
7578	1	"Empidonax_hammondii"
7578	1	"Empidonax_alnorum"
7578	1	"Sayornis_saya"
7578	1	"Contopus_cooperi"
7578	1	"Contopus_sordidulus"
7579	1	"Empidonax_hammondii"
7579	1	"Empidonax_alnorum"
7579	1	"Sayornis_saya"
7579	1	"Contopus_cooperi"
7579	1	"Contopus_sordidulus"
7580	1	"Empidonax_hammondii"
7580	1	"Empidonax_alnorum"
7580	1	"Sayornis_saya"
7580	1	"Contopus_cooperi"
7580	1	"Contopus_sordidulus"
7581	1	"Empidonax_hammondii"
7581	1	"Empidonax_alnorum"
7581	1	"Sayornis_saya"
7581	1	"Contopus_cooperi"
7582	1	"Empidonax_hammondii"
7582	1	"Empidonax_alnorum"
7582	1	"Sayornis_saya"
7582	1	"Contopus_cooperi"
7583	1	"Empidonax_hammondii"
7583	1	"Empidonax_alnorum"
7583	1	"Sayornis_saya"
7583	1	"Contopus_cooperi"
7584	1	"Empidonax_hammondii"
7584	1	"Empidonax_alnorum"
7584	1	"Sayornis_saya"
7584	1	"Contopus_cooperi"
7585	1	"Empidonax_hammondii"
7585	1	"Empidonax_alnorum"
7585	1	"Sayornis_saya"
7585	1	"Contopus_cooperi"
7586	1	"Empidonax_hammondii"
7586	1	"Empidonax_alnorum"
7586	1	"Sayornis_saya"
7586	1	"Contopus_cooperi"
7587	1	"Empidonax_hammondii"
7587	1	"Empidonax_alnorum"
7587	1	"Sayornis_saya"
7587	1	"Contopus_cooperi"
7588	1	"Empidonax_hammondii"
7588	1	"Empidonax_alnorum"
7588	1	"Sayornis_saya"
7588	1	"Contopus_cooperi"
7589	1	"Empidonax_hammondii"
7589	1	"Empidonax_alnorum"
7589	1	"Sayornis_saya"
7589	1	"Contopus_cooperi"
7590	1	"Empidonax_hammondii"
7590	1	"Empidonax_alnorum"
7590	1	"Sayornis_saya"
7590	1	"Contopus_cooperi"
7591	1	"Empidonax_hammondii"
7591	1	"Empidonax_alnorum"
7591	1	"Sayornis_saya"
7591	1	"Contopus_cooperi"
7592	1	"Empidonax_hammondii"
7592	1	"Empidonax_alnorum"
7592	1	"Sayornis_saya"
7592	1	"Contopus_cooperi"
7592	1	"Contopus_sordidulus"
7593	1	"Empidonax_hammondii"
7593	1	"Empidonax_alnorum"
7593	1	"Sayornis_saya"
7593	1	"Contopus_cooperi"
7593	1	"Contopus_sordidulus"
7594	1	"Empidonax_hammondii"
7594	1	"Empidonax_alnorum"
7594	1	"Sayornis_saya"
7594	1	"Contopus_cooperi"
7594	1	"Contopus_sordidulus"
7595	1	"Empidonax_hammondii"
7595	1	"Empidonax_alnorum"
7595	1	"Sayornis_saya"
7595	1	"Contopus_cooperi"
7595	1	"Contopus_sordidulus"
7596	1	"Empidonax_hammondii"
7596	1	"Empidonax_alnorum"
7596	1	"Sayornis_saya"
7596	1	"Contopus_cooperi"
7596	1	"Contopus_sordidulus"
7597	1	"Empidonax_hammondii"
7597	1	"Empidonax_alnorum"
7597	1	"Sayornis_saya"
7597	1	"Contopus_cooperi"
7597	1	"Contopus_sordidulus"
7598	1	"Empidonax_hammondii"
7598	1	"Empidonax_alnorum"
7598	1	"Sayornis_saya"
7598	1	"Contopus_cooperi"
7598	1	"Contopus_sordidulus"
7936	1	"Empidonax_hammondii"
7936	1	"Empidonax_alnorum"
7936	1	"Sayornis_saya"
7936	1	"Contopus_cooperi"
7936	1	"Contopus_sordidulus"
7937	1	"Empidonax_hammondii"
7937	1	"Empidonax_alnorum"
7937	1	"Sayornis_saya"
7937	1	"Contopus_cooperi"
7937	1	"Contopus_sordidulus"
7938	1	"Empidonax_hammondii"
7938	1	"Empidonax_alnorum"
7938	1	"Sayornis_saya"
7938	1	"Contopus_cooperi"
7938	1	"Contopus_sordidulus"
7939	1	"Empidonax_hammondii"
7939	1	"Empidonax_alnorum"
7939	1	"Sayornis_saya"
7939	1	"Contopus_cooperi"
7939	1	"Contopus_sordidulus"
7940	1	"Empidonax_hammondii"
7940	1	"Empidonax_alnorum"
7940	1	"Sayornis_saya"
7940	1	"Contopus_cooperi"
7940	1	"Contopus_sordidulus"
7941	1	"Empidonax_hammondii"
7941	1	"Empidonax_alnorum"
7941	1	"Sayornis_saya"
7941	1	"Contopus_cooperi"
7942	1	"Empidonax_hammondii"
7942	1	"Empidonax_alnorum"
7942	1	"Sayornis_saya"
7942	1	"Contopus_cooperi"
7943	1	"Empidonax_hammondii"
7943	1	"Empidonax_alnorum"
7943	1	"Sayornis_saya"
7943	1	"Contopus_cooperi"
7944	1	"Empidonax_hammondii"
7944	1	"Empidonax_alnorum"
7944	1	"Sayornis_saya"
7944	1	"Contopus_cooperi"
7945	1	"Empidonax_hammondii"
7945	1	"Empidonax_alnorum"
7945	1	"Sayornis_saya"
7945	1	"Contopus_cooperi"
7946	1	"Empidonax_hammondii"
7946	1	"Empidonax_alnorum"
7946	1	"Sayornis_saya"
7946	1	"Contopus_cooperi"
7947	1	"Empidonax_hammondii"
7947	1	"Empidonax_alnorum"
7947	1	"Sayornis_saya"
7947	1	"Contopus_cooperi"
7948	1	"Empidonax_hammondii"
7948	1	"Empidonax_alnorum"
7948	1	"Sayornis_saya"
7948	1	"Contopus_cooperi"
7949	1	"Empidonax_hammondii"
7949	1	"Empidonax_alnorum"
7949	1	"Sayornis_saya"
7949	1	"Contopus_cooperi"
7950	1	"Empidonax_hammondii"
7950	1	"Empidonax_alnorum"
7950	1	"Sayornis_saya"
7950	1	"Contopus_cooperi"
7951	1	"Empidonax_hammondii"
7951	1	"Empidonax_alnorum"
7951	1	"Sayornis_saya"
7951	1	"Contopus_cooperi"
7951	1	"Contopus_sordidulus"
7952	1	"Empidonax_hammondii"
7952	1	"Empidonax_alnorum"
7952	1	"Sayornis_saya"
7952	1	"Contopus_cooperi"
7952	1	"Contopus_sordidulus"
7953	1	"Empidonax_hammondii"
7953	1	"Empidonax_alnorum"
7953	1	"Sayornis_saya"
7953	1	"Contopus_cooperi"
7953	1	"Contopus_sordidulus"
7954	1	"Empidonax_hammondii"
7954	1	"Empidonax_alnorum"
7954	1	"Sayornis_saya"
7954	1	"Contopus_cooperi"
7954	1	"Contopus_sordidulus"
7955	1	"Empidonax_hammondii"
7955	1	"Empidonax_alnorum"
7955	1	"Sayornis_saya"
7955	1	"Contopus_cooperi"
7955	1	"Contopus_sordidulus"
7956	1	"Empidonax_hammondii"
7956	1	"Empidonax_alnorum"
7956	1	"Sayornis_saya"
7956	1	"Contopus_cooperi"
7956	1	"Contopus_sordidulus"
7957	1	"Empidonax_hammondii"
7957	1	"Empidonax_alnorum"
7957	1	"Sayornis_saya"
7957	1	"Contopus_cooperi"
7957	1	"Contopus_sordidulus"
7958	1	"Empidonax_hammondii"
7958	1	"Empidonax_alnorum"
7958	1	"Sayornis_saya"
7958	1	"Contopus_cooperi"
7958	1	"Contopus_sordidulus"
8294	1	"Empidonax_hammondii"
8294	1	"Empidonax_alnorum"
8294	1	"Sayornis_saya"
8294	1	"Contopus_cooperi"
8294	1	"Contopus_sordidulus"
8295	1	"Empidonax_hammondii"
8295	1	"Empidonax_alnorum"
8295	1	"Sayornis_saya"
8295	1	"Contopus_cooperi"
8295	1	"Contopus_sordidulus"
8296	1	"Empidonax_hammondii"
8296	1	"Empidonax_alnorum"
8296	1	"Sayornis_saya"
8296	1	"Contopus_cooperi"
8296	1	"Contopus_sordidulus"
8297	1	"Empidonax_hammondii"
8297	1	"Empidonax_alnorum"
8297	1	"Sayornis_saya"
8297	1	"Contopus_cooperi"
8297	1	"Contopus_sordidulus"
8298	1	"Empidonax_hammondii"
8298	1	"Empidonax_alnorum"
8298	1	"Sayornis_saya"
8298	1	"Contopus_cooperi"
8298	1	"Contopus_sordidulus"
8299	1	"Empidonax_hammondii"
8299	1	"Empidonax_alnorum"
8299	1	"Sayornis_saya"
8299	1	"Contopus_cooperi"
8299	1	"Contopus_sordidulus"
8300	1	"Empidonax_hammondii"
8300	1	"Empidonax_alnorum"
